InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales
565080,20677,PINK POLKADOT BOWL,8,2011-09-01 08:25:00,1.25,13509,United Kingdom,10.0
565080,22128,PARTY CONES CANDY ASSORTED,24,2011-09-01 08:25:00,1.25,13509,United Kingdom,30.0
565082,22423,REGENCY CAKESTAND 3 TIER,2,2011-09-01 09:15:00,12.75,13305,United Kingdom,25.5
565082,15060B,FAIRY CAKE DESIGN UMBRELLA,8,2011-09-01 09:15:00,3.75,13305,United Kingdom,30.0
565082,23245,SET OF 3 REGENCY CAKE TINS,4,2011-09-01 09:15:00,4.95,13305,United Kingdom,19.8
565083,22609,PENS ASSORTED SPACEBALL,36,2011-09-01 09:19:00,0.19,16187,United Kingdom,6.84
565083,22741,FUNKY DIVA PEN,48,2011-09-01 09:19:00,0.85,16187,United Kingdom,40.8
565083,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,16,2011-09-01 09:19:00,3.29,16187,United Kingdom,52.64
565083,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,24,2011-09-01 09:19:00,2.1,16187,United Kingdom,50.400000000000006
565083,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,12,2011-09-01 09:19:00,2.1,16187,United Kingdom,25.200000000000003
565083,22652,TRAVEL SEWING KIT,10,2011-09-01 09:19:00,1.65,16187,United Kingdom,16.5
565083,22489,PACK OF 12 TRADITIONAL CRAYONS,24,2011-09-01 09:19:00,0.42,16187,United Kingdom,10.08
565083,22653,BUTTON BOX ,20,2011-09-01 09:19:00,1.95,16187,United Kingdom,39.0
565083,23263,SET OF 3 WOODEN HEART DECORATIONS,24,2011-09-01 09:19:00,1.25,16187,United Kingdom,30.0
565083,21415,CLAM SHELL SMALL ,24,2011-09-01 09:19:00,2.1,16187,United Kingdom,50.400000000000006
565083,22212,FOUR HOOK  WHITE LOVEBIRDS,6,2011-09-01 09:19:00,2.1,16187,United Kingdom,12.6
565084,23309,SET OF 60 I LOVE LONDON CAKE CASES ,120,2011-09-01 09:39:00,0.42,17306,United Kingdom,50.4
565084,22970,LONDON BUS COFFEE MUG,36,2011-09-01 09:39:00,2.1,17306,United Kingdom,75.60000000000001
565084,22988,SOLDIERS EGG CUP ,144,2011-09-01 09:39:00,1.06,17306,United Kingdom,152.64
565084,22902,TOTE BAG I LOVE LONDON,50,2011-09-01 09:39:00,1.69,17306,United Kingdom,84.5
565084,22659,LUNCH BOX I LOVE LONDON,64,2011-09-01 09:39:00,1.65,17306,United Kingdom,105.6
